Date2,Date,Open,High,Low,Close*,Adj Close**,Volume
2021-03-23,"Mar 23, 2021",123.33,124.24,122.14,122.54,122.54,95467142
2021-03-22,"Mar 22, 2021",120.33,123.87,120.26,123.39,123.39,111711600
2021-03-19,"Mar 19, 2021",119.90,121.43,119.68,119.99,119.99,185023200
2021-03-18,"Mar 18, 2021",122.88,123.18,120.32,120.53,120.53,121229700
2021-03-17,"Mar 17, 2021",124.05,125.86,122.34,124.76,124.76,111437500
2021-03-16,"Mar 16, 2021",125.70,127.22,124.72,125.57,125.57,114740000
2021-03-15,"Mar 15, 2021",121.41,124.00,120.42,123.99,123.99,92403800
2021-03-12,"Mar 12, 2021",120.40,121.17,119.16,121.03,121.03,87963400
2021-03-11,"Mar 11, 2021",122.54,123.21,121.26,121.96,121.96,102753600
2021-03-10,"Mar 10, 2021",121.69,122.17,119.45,119.98,119.98,111760400
2021-03-09,"Mar 09, 2021",119.03,122.06,118.79,121.09,121.09,129159600
2021-03-08,"Mar 08, 2021",120.93,121.00,116.21,116.36,116.36,153918600
2021-03-05,"Mar 05, 2021",120.98,121.94,117.57,121.42,121.42,153590400
2021-03-04,"Mar 04, 2021",121.75,123.60,118.62,120.13,120.13,177275300
2021-03-03,"Mar 03, 2021",124.81,125.71,121.84,122.06,122.06,112430400
2021-03-02,"Mar 02, 2021",128.41,128.72,125.01,125.12,125.12,102015300
2021-03-01,"Mar 01, 2021",123.75,127.93,122.79,127.79,127.79,115998300
2021-02-26,"Feb 26, 2021",122.59,124.85,121.20,121.26,121.26,164320000
2021-02-25,"Feb 25, 2021",124.68,126.46,120.54,120.99,120.99,148199500
2021-02-24,"Feb 24, 2021",124.94,125.56,122.23,125.35,125.35,111039900
2021-02-23,"Feb 23, 2021",123.76,126.71,118.39,125.86,125.86,158273000
2021-02-22,"Feb 22, 2021",128.01,129.72,125.60,126.00,126.0,103916400
2021-02-19,"Feb 19, 2021",130.24,130.71,128.80,129.87,129.87,87668800
2021-02-18,"Feb 18, 2021",129.20,130.00,127.41,129.71,129.71,96856700
2021-02-17,"Feb 17, 2021",131.25,132.22,129.47,130.84,130.84,97918500
2021-02-16,"Feb 16, 2021",135.49,136.01,132.79,133.19,133.19,80576300
2021-02-12,"Feb 12, 2021",134.35,135.53,133.69,135.37,135.37,60029300
2021-02-11,"Feb 11, 2021",135.90,136.39,133.77,135.13,135.13,64154400
2021-02-10,"Feb 10, 2021",136.48,136.99,134.40,135.39,135.39,73046600
2021-02-09,"Feb 09, 2021",136.62,137.88,135.85,136.01,136.01,76774200
2021-02-08,"Feb 08, 2021",136.03,136.96,134.92,136.91,136.91,71297200
2021-02-05,"Feb 05, 2021",137.35,137.42,135.86,136.76,136.76,75524000
2021-02-04,"Feb 04, 2021",136.30,137.40,134.59,137.39,137.18,84183100
2021-02-03,"Feb 03, 2021",135.76,135.77,133.61,133.94,133.74,89880900
2021-02-02,"Feb 02, 2021",135.73,136.31,134.61,134.99,134.79,83305400
2021-02-01,"Feb 01, 2021",133.75,135.38,130.93,134.14,133.94,106239800
2021-01-29,"Jan 29, 2021",135.83,136.74,130.21,131.96,131.76,177180600
2021-01-28,"Jan 28, 2021",139.52,141.99,136.70,137.09,136.89,142621100
2021-01-27,"Jan 27, 2021",143.43,144.30,140.41,142.06,141.85,140843800
2021-01-26,"Jan 26, 2021",143.60,144.30,141.37,143.16,142.95,98390600
2021-01-25,"Jan 25, 2021",143.07,145.09,136.54,142.92,142.71,157611700
2021-01-22,"Jan 22, 2021",136.28,139.85,135.02,139.07,138.86,114459400
2021-01-21,"Jan 21, 2021",133.80,139.67,133.59,136.87,136.67,120529500
2021-01-20,"Jan 20, 2021",128.66,132.49,128.55,132.03,131.83,104319500
2021-01-19,"Jan 19, 2021",127.78,128.71,126.94,127.83,127.64,90757300
2021-01-15,"Jan 15, 2021",128.78,130.22,127.00,127.14,126.95,111598500
2021-01-14,"Jan 14, 2021",130.80,131.00,128.76,128.91,128.72,90221800
2021-01-13,"Jan 13, 2021",128.76,131.45,128.49,130.89,130.69,88636800
2021-01-12,"Jan 12, 2021",128.50,129.69,126.86,128.80,128.61,91951100
